,target
961,0.7224245
962,0.82301706
963,0.74712644
964,0.65367316
965,0.57178554
966,0.38088099
967,0.29799386
968,0.27643321
969,0.18990505
970,0.16049118
971,0.14599843
972,0.15378025
973,0.13279075
974,0.11529949
975,0.10873135
976,0.1021632
977,0.09809381
978,0.095023917
979,0.088098808
980,0.084386378
981,0.07946027
982,0.076604555
983,0.073391875
984,0.06903691
985,0.065395873
986,0.061969015
987,0.060112801
988,0.056471764
989,0.053187692
990,0.050331977
991,0.045263083
992,0.042407368
993,0.040622546
994,0.050331977
995,0.092953523
996,0.14278575
997,0.15549368
998,0.13935889
999,0.14092954
1000,0.10551867
1001,0.11158706
1002,0.10915971
1003,0.14464196
1004,0.10630399
1005,0.25565789
1006,0.26686657
1007,0.20318412
1008,0.15456557
1009,0.16870136
1010,0.22260298
1011,0.22724352
1012,0.22417363
1013,0.17848219
1014,0.14557007
1015,0.11544228
1016,0.088027415
1017,0.12172485
1018,0.20696794
1019,0.20475477
1020,0.14164346
1021,0.12550867
1022,0.1612765
1023,0.12029699
1024,0.098022417
1025,0.079817234
1026,0.069679446
1027,0.063968016
1028,0.060255586
1029,0.056828728
1030,0.055043907
1031,0.055186692
1032,0.051688441
1033,0.050331977
1034,0.047976012
1035,0.04669094
1036,0.04419219
1037,0.041550653
1038,0.03948026
1039,0.033983008
1040,0.0300564
1041,0.028342971
1042,0.027414864
1043,0.025558649
1044,0.029485257
1045,0.034911116
1046,0.043906618
1047,0.052545156
1048,0.035982009
1049,0.047119297
1050,0.078817734
1051,0.1002356
1052,0.15313772
1053,0.19997144
1054,0.19197544
1055,0.17991004
1056,0.1844078
1057,0.10637538
1058,0.24280717
1059,0.19290355
1060,0.13429
1061,0.17562647
1062,0.15599343
1063,0.20389805
1064,0.17062897
1065,0.14778325
1066,0.19276076
1067,0.2013993
1068,0.19604483
1069,0.17412722
1070,0.1412865
1071,0.18226601
1072,0.2384522
1073,0.25258799
1074,0.19433141
1075,0.11537089
1076,0.079031913
1077,0.064182195
1078,0.055757835
1079,0.059256086
1080,0.065967016
1081,0.059470265
1082,0.053973013
1083,0.049261084
1084,0.047262083
1085,0.043978011
1086,0.040836724
1087,0.037838224
1088,0.037695438
1089,0.035410866
1090,0.033340473
1091,0.031412865
1092,0.029985007
1093,0.028485757
1094,0.026558149
1095,0.024416363
1096,0.022203184
1097,0.020346969
1098,0.019847219
1099,0.022274577
1100,0.022702934
1101,0.019704433
1102,0.017848219
1103,0.017205683
1104,0.011280074
1105,0.010280574
1106,0.016206183
1107,0.052045406
1108,0.063111301
1109,0.094167202
1110,0.10644678
1111,0.12215321
1112,0.17776826
1113,0.17291354
1114,0.12093953
1115,0.14464196
1116,0.18726351
1117,0.19690155
1118,0.21353609
1119,0.21018062
1120,0.19333191
1121,0.19233241
1122,0.21160848
1123,0.23324052
1124,0.29628043
1125,0.31969729
1126,0.34761191
1127,0.30470479
1128,0.20268437
1129,0.15499393
1130,0.11801242
1131,0.093524666
1132,0.081316485
1133,0.07624759
1134,0.06803741
1135,0.060826729
1136,0.060541158
1137,0.058542157
1138,0.052830727
1139,0.046976512
1140,0.044120797
1141,0.040408367
1142,0.037338474
1143,0.03376883
1144,0.030913115
1145,0.028699936
1146,0.025558649
1147,0.022417363
1148,0.024130792
1149,0.037481259
1150,0.028914114
1151,0.034625544
1152,0.021632041
1153,0.019061898
1154,0.024059399
1155,0.022131791
1156,0.045048904
1157,0.10509031
1158,0.11729849
1159,0.097736846
1160,0.1132291
1161,0.19433141
1162,0.23823802
1163,0.10651817
1164,0.26272578
1165,0.24173627
1166,0.1543514
1167,0.10366245
1168,0.059470265
1169,0.043692439
1170,0.067109302
1171,0.081030913
1172,0.087527665
1173,0.10744628
1174,0.14642679
1175,0.086742343
1176,0.13236239
1177,0.21617763
1178,0.20468337
1179,0.14992504
1180,0.15870636
1181,0.091811237
1182,0.080388377
1183,0.057899622
1184,0.050189191
1185,0.044406368
1186,0.042121796
1187,0.038266581
1188,0.03526808
1189,0.032340972
1190,0.033483258
1191,0.029770829
1192,0.028271578
1193,0.027200685
1194,0.026343971
1195,0.025130292
1196,0.023131291
1197,0.02134647
1198,0.019633041
1199,0.017991004
1200,0.016348968
1201,0.015206682
1202,0.015063897
1203,0.025201685
1204,0.034411366
1205,0.027486257
1206,0.043335475
1207,0.0561148
1208,0.048404369
1209,0.023702434
1210,0.033697437
1211,0.053259085
1212,0.13486114
1213,0.09559506
1214,0.13243378
1215,0.20011423
1216,0.10658956
1217,0.26858
1218,0.28100236
1219,0.25066038
1220,0.15649318
1221,0.093167702
1222,0.081530663
1223,0.11237239
1224,0.16905833
1225,0.19683016
1226,0.19518812
1227,0.10694653
1228,0.075033912
1229,0.07624759
